
Exp3BirthRate, New Run at  03/22/2015 18:04:19
, Time,TotalArticleNum,ArticleNuminBatch
data,1241274600,53,21
data,1241275200,54,22
data,1241275500,54,22
data,1241275800,54,21
data,1241276100,54,21
data,1241276400,54,21
data,1241277000,54,21
data,1241277300,54,21
data,1241277600,54,21
data,1241277900,54,21
data,1241278200,54,21
data,1241278500,54,21
data,1241279100,54,21
data,1241279400,54,21
data,1241279700,54,21
data,1241280000,54,21
data,1241280300,56,23
data,1241280600,56,23
data,1241281200,56,21
data,1241281500,56,21
data,1241281800,56,21
data,1241282100,56,21
data,1241282400,56,21
data,1241282700,56,21
data,1241283300,57,22
data,1241283600,57,21
data,1241283900,57,21
data,1241284200,57,21
data,1241284500,57,21
data,1241285100,57,21
data,1241285400,57,21
data,1241285700,57,21
data,1241286000,57,21
data,1241286300,57,21
data,1241286900,57,21
data,1241287200,58,22
data,1241287500,58,22
data,1241287800,59,22
data,1241288100,60,23
data,1241288700,61,23
data,1241289000,61,22
data,1241289300,61,22
data,1241289600,61,22
data,1241290200,61,22
data,1241290500,61,22
data,1241290800,61,22
data,1241291100,61,22
data,1241291700,61,22
data,1241292000,61,22
data,1241292300,62,23
data,1241292600,62,23
data,1241293200,62,22
data,1241293500,62,22
data,1241293800,62,22
data,1241294400,62,22
data,1241294700,62,22
data,1241295000,62,22
data,1241295300,62,22
data,1241295900,62,22
data,1241296200,64,24
data,1241296500,64,24
data,1241297100,65,25
data,1241297400,65,22
data,1241297700,65,22
data,1241298000,65,22
data,1241298600,65,22
data,1241298900,65,21
data,1241299200,65,21
data,1241299800,65,21
data,1241300100,65,21
data,1241300700,65,21
data,1241301000,65,21
data,1241301300,65,21
data,1241301900,65,21
data,1241302200,65,21
data,1241302500,65,21
data,1241303100,65,21
data,1241303400,65,21
data,1241304000,65,21
data,1241304300,65,21
data,1241304600,65,21
data,1241305200,65,21
data,1241305500,66,22
data,1241306100,66,22
data,1241306400,66,21
data,1241306700,66,21
data,1241307300,67,22
data,1241307600,67,22
data,1241307900,67,22
data,1241308500,68,22
data,1241308800,69,23
data,1241309400,69,22
data,1241309700,69,21
data,1241310000,69,21
data,1241310600,69,21
data,1241310900,69,21
data,1241311200,69,21
data,1241311800,69,21
data,1241312100,69,21
data,1241312400,69,21
data,1241313000,69,21
data,1241313300,69,21
data,1241313600,69,21
data,1241314200,69,21
data,1241314500,69,21
data,1241314800,69,21
data,1241315400,69,21
data,1241315700,70,22
data,1241316000,70,22
data,1241316600,70,21
data,1241316900,70,20
data,1241317200,70,20
data,1241317800,70,20
data,1241318100,70,20
data,1241318400,70,20
data,1241319000,70,20
data,1241319300,70,20
data,1241319900,70,20
data,1241320200,70,20
data,1241320500,71,21
data,1241321100,71,21
data,1241321400,71,21
data,1241322000,72,22
data,1241322300,72,22
data,1241322900,72,22
data,1241323200,72,22
data,1241323800,72,22
data,1241324100,73,23
data,1241324700,73,23
data,1241325300,73,22
data,1241325600,73,22
data,1241326200,73,22
data,1241326800,73,22
data,1241327400,73,22
data,1241328000,73,22
data,1241328600,73,22
data,1241329200,73,22
data,1241329800,73,22
data,1241330700,73,22
data,1241331300,73,22
data,1241332200,73,22
data,1241332800,73,22
data,1241333700,73,22
data,1241333700,73,19
data,1241334600,73,19
data,1241335500,73,19
data,1241336400,73,19
data,1241337300,73,19
data,1241338200,73,19
data,1241339100,73,19
data,1241340300,73,19
data,1241341200,73,19
data,1241342400,73,19
data,1241343600,73,19
data,1241344500,73,19
data,1241345700,73,19
data,1241346600,73,19
data,1241347500,73,19
data,1241348400,73,19
data,1241349300,73,19
data,1241350200,73,19
data,1241351100,73,19
data,1241351700,73,19
data,1241352300,73,19
data,1241352900,73,19
data,1241353500,73,19
data,1241354100,73,19
data,1241354700,73,19
data,1241355300,73,19
data,1241355600,73,19
data,1241356200,73,19
data,1241356800,73,19
data,1241357100,73,19
data,1241357700,73,19
data,1241358000,73,19
data,1241358600,73,19
data,1241358900,73,19
data,1241359200,73,19
data,1241359800,73,19
data,1241360100,74,20
data,1241360400,74,20
data,1241361000,74,19
data,1241361300,74,19
data,1241361600,74,19
data,1241362200,74,19
data,1241362500,74,19
data,1241362800,74,19
data,1241363100,74,19
data,1241363700,74,19
data,1241364000,74,19
data,1241364300,74,19
data,1241364600,74,19
data,1241365200,74,19
data,1241365500,74,19
data,1241365800,74,19
data,1241366100,74,19
data,1241366400,74,19
data,1241367000,74,19
data,1241367300,74,19
data,1241367600,74,19
data,1241367900,74,19
data,1241368200,77,22
data,1241368800,77,22
data,1241369100,78,21
data,1241369400,78,21
data,1241369700,78,21
data,1241370000,78,20
data,1241370300,78,20
data,1241370900,79,21
data,1241371200,79,21
data,1241371500,79,20
data,1241371800,79,20
data,1241372100,79,20
data,1241372400,80,21
data,1241373000,80,21
data,1241373300,80,21
data,1241373600,80,21
data,1241373900,80,21
data,1241374200,80,21
data,1241374500,80,21
data,1241375100,80,21
data,1241375400,80,21
data,1241375700,80,21
data,1241376000,80,21
data,1241376300,80,21
data,1241376900,80,21
data,1241377200,81,22
data,1241377500,81,22
data,1241377800,82,22
data,1241378100,82,22
data,1241378700,82,21
data,1241379000,82,21
data,1241379300,82,21
data,1241379600,83,22
data,1241379900,83,22
data,1241380500,83,22
data,1241380800,84,23
data,1241381100,84,23
data,1241381400,84,22
data,1241381700,84,22
data,1241382300,84,22
data,1241382600,84,22
data,1241382900,84,22
data,1241383200,85,23
data,1241383800,85,23
data,1241384100,85,22
data,1241384400,85,22
data,1241384700,85,22
data,1241385000,85,22
data,1241385600,86,23
data,1241385900,86,23
data,1241386200,86,22
data,1241386500,86,22
data,1241386800,86,22
data,1241387400,86,22
data,1241387700,86,22
data,1241388000,86,22
data,1241388300,86,22
data,1241388900,86,22
data,1241389200,86,22
data,1241389500,86,22
data,1241389800,86,22
data,1241390100,86,22
data,1241390400,86,22
data,1241391000,86,22
data,1241391300,87,23
data,1241391600,87,23
data,1241391900,87,22
data,1241392200,87,22
data,1241392800,88,23
data,1241393100,89,24
data,1241393400,89,23
data,1241393700,89,23
data,1241394000,89,22
data,1241394300,89,22
data,1241394600,89,22
data,1241394900,89,22
data,1241395200,89,22
data,1241395800,89,22
data,1241396100,89,22
data,1241396400,89,22
data,1241396700,89,22
data,1241397000,89,22
data,1241397300,89,22
data,1241397600,89,22
data,1241397900,89,22
data,1241398200,89,22
data,1241398500,89,22
data,1241398800,89,22
data,1241399100,89,22
data,1241399400,89,22
data,1241399700,89,22
data,1241400000,89,22
data,1241400300,89,22
data,1241400600,89,22
data,1241400900,89,22
data,1241401200,89,22
data,1241401500,89,22
data,1241401800,90,23
data,1241402100,90,23
data,1241402400,90,22
data,1241402700,90,22
data,1241403000,90,22
data,1241403300,90,22
data,1241403600,90,22
data,1241403900,90,22
data,1241404200,90,22
data,1241404500,90,22
data,1241404800,90,22
data,1241405100,90,22
data,1241405400,90,22
data,1241405700,90,22
data,1241406000,90,22
data,1241406600,90,22
data,1241406900,90,22
data,1241407200,90,22
data,1241407500,90,22
data,1241407800,91,23
data,1241408100,91,23
data,1241408700,91,23
data,1241409000,91,23
data,1241409300,91,23
data,1241409900,91,23
data,1241410200,91,22
data,1241410500,91,22
data,1241411100,91,22
data,1241411400,91,22
data,1241412000,91,22
data,1241412300,91,22
data,1241412900,91,22
data,1241413500,91,22
data,1241413800,91,22
data,1241414400,91,22
data,1241415000,91,22
data,1241415600,91,22
data,1241416200,91,22
data,1241416800,93,24
data,1241417400,93,24
data,1241418000,93,20
data,1241418600,93,20
data,1241419200,93,20
data,1241419800,93,20
data,1241420100,93,20
data,1241420700,93,20
data,1241421300,93,20
data,1241421900,93,20
data,1241422800,93,20
data,1241423400,93,20
data,1241424300,93,20
data,1241425200,93,20
data,1241425800,93,20
data,1241426700,93,20
data,1241427600,93,20
data,1241428500,93,20
data,1241429100,93,20
data,1241430000,93,20
data,1241430900,93,20
data,1241431500,93,20
data,1241432100,93,20
data,1241433000,94,21
data,1241433600,94,21
data,1241434200,94,20
data,1241434800,94,20
data,1241435400,94,20
data,1241435700,94,20
data,1241436300,94,20
data,1241436600,94,20
data,1241437200,94,20
data,1241437500,94,20
data,1241438100,95,21
data,1241438400,95,20
data,1241438700,95,20
data,1241439300,95,20
data,1241439600,95,20
data,1241439900,95,20
data,1241440200,95,20
data,1241440500,95,20
data,1241440800,95,20
data,1241441100,95,20
data,1241441400,96,21
data,1241441700,96,21
data,1241442000,96,20
data,1241442300,96,20
data,1241442600,96,20
data,1241442900,96,20
data,1241443200,96,20
data,1241443500,96,20
data,1241443800,96,20
data,1241444100,96,20
data,1241444400,96,20
data,1241444400,96,20
data,1241444700,96,20
data,1241445000,96,20
data,1241445300,96,20
data,1241445600,96,20
data,1241445900,96,20
data,1241446200,96,20
data,1241446200,96,20
data,1241446500,96,20
data,1241446800,96,20
data,1241447100,97,21
data,1241447400,97,21
data,1241447400,97,20
data,1241447700,97,20
data,1241448000,97,20
data,1241448300,97,20
data,1241448600,97,20
data,1241448600,97,20
data,1241448900,97,20
data,1241449200,97,19
data,1241449500,97,19
data,1241449800,98,20
data,1241449800,98,20
data,1241450100,98,20
data,1241450400,98,19
data,1241450700,98,19
data,1241451000,98,19
data,1241451000,98,19
data,1241451300,98,19
data,1241451600,99,20
data,1241451900,99,20
data,1241451900,99,19
data,1241452200,99,19
data,1241452500,99,19
data,1241452800,99,19
data,1241453100,99,19
data,1241453100,99,19
data,1241453400,99,19
data,1241453700,99,19
data,1241454000,99,19
data,1241454000,99,19
data,1241454300,99,19
data,1241454600,99,19
data,1241454900,99,19
data,1241455200,99,19
data,1241455200,99,19
data,1241455500,99,19
data,1241455800,100,20
data,1241456100,100,20
data,1241456400,100,20
data,1241456400,100,20
data,1241456700,101,21
data,1241457000,101,21
data,1241457300,103,22
data,1241457300,103,22
data,1241457600,103,22
data,1241457900,103,20
data,1241458200,103,20
data,1241458500,103,20
data,1241458500,103,20
data,1241458800,103,20
data,1241459100,103,20
data,1241459400,103,20
data,1241459700,103,20
data,1241459700,103,20
data,1241460000,103,20
data,1241460300,103,20
data,1241460600,103,20
data,1241460900,103,20
data,1241460900,103,20
data,1241461200,103,20
data,1241461500,103,20
data,1241461800,103,20
data,1241462100,103,20
data,1241462100,103,20
data,1241462400,103,20
data,1241462700,104,21
data,1241463000,104,21
data,1241463000,104,20
data,1241463300,104,20
data,1241463600,104,20
data,1241463900,104,20
data,1241464200,104,20
data,1241464200,104,20
data,1241464500,104,20
data,1241464800,104,20
data,1241465100,104,20
data,1241465400,104,20
data,1241465400,104,20
data,1241465700,106,22
data,1241466000,106,22
data,1241466300,106,21
data,1241466300,106,21
data,1241466600,106,21
data,1241466900,106,21
data,1241467200,107,22
data,1241467200,107,22
data,1241467500,107,22
data,1241467800,108,22
data,1241468100,109,23
data,1241468100,109,23
data,1241468400,110,24
data,1241468700,110,22
data,1241469000,110,22
data,1241469300,110,22
data,1241469300,110,22
data,1241469600,110,22
data,1241469900,110,22
data,1241470200,110,22
data,1241470200,110,22
data,1241470500,110,22
data,1241470800,110,22
data,1241471100,110,22
data,1241471400,110,22
data,1241471400,110,22
data,1241471700,110,22
data,1241472000,110,22
data,1241472300,111,23
data,1241472600,111,23
data,1241472600,111,23
data,1241472900,111,23
data,1241473200,111,23
data,1241473500,111,23
data,1241473800,111,23
data,1241474100,111,23
data,1241474100,111,23
data,1241474400,111,23
data,1241474700,111,23
data,1241475000,111,23
data,1241475300,111,23
data,1241475600,111,23
data,1241475900,111,23
data,1241476200,111,23
data,1241476500,111,23
data,1241476500,111,23
data,1241476800,111,23
data,1241477100,112,24
data,1241477400,112,24
data,1241477700,112,23
data,1241478000,113,24
data,1241478300,113,24
data,1241478600,113,23
data,1241478900,113,23
data,1241479200,113,23
data,1241479200,113,23
data,1241479500,113,23
data,1241479800,114,24
data,1241480100,114,24
data,1241480400,114,23
data,1241480700,114,23
data,1241481000,114,23
data,1241481300,114,23
data,1241481600,114,23
data,1241481600,114,23
data,1241481900,114,23
data,1241482200,114,23
data,1241482500,115,24
data,1241482800,115,24
data,1241483100,115,23
data,1241483400,116,24
data,1241483700,116,24
data,1241484000,116,23
data,1241484000,116,23
data,1241484300,116,23
data,1241484600,116,23
data,1241484900,116,23
data,1241485200,116,23
data,1241485500,116,23
data,1241485800,117,24
data,1241485800,117,24
data,1241486100,117,24
data,1241486400,117,23
data,1241486700,117,23
data,1241487000,117,23
data,1241487300,117,23
data,1241487600,118,24
data,1241487900,118,24
data,1241488200,118,23
data,1241488200,118,23
data,1241488500,118,23
data,1241488800,119,24
data,1241489100,119,24
data,1241489400,119,23
data,1241489700,119,23
data,1241490000,119,23
data,1241490300,119,23
data,1241490600,119,23
data,1241490900,119,23
data,1241491200,119,23
data,1241491500,119,23
data,1241491500,119,23
data,1241491800,119,23
data,1241492100,119,23
data,1241492400,119,23
data,1241492700,119,23
data,1241493300,119,23
data,1241493600,119,23
data,1241493900,119,23
data,1241494200,119,23
data,1241494500,119,23
data,1241494800,119,23
data,1241495100,119,23
data,1241495400,119,23
data,1241496000,119,23
data,1241496300,119,23
data,1241496600,119,23
data,1241497200,119,23
data,1241497500,119,23
data,1241497800,119,23
data,1241498400,120,24
data,1241498700,120,23
data,1241499300,120,23
data,1241499600,120,23
data,1241500200,120,23
data,1241500800,120,23
data,1241501100,120,23
data,1241501700,120,23
data,1241502300,120,23
data,1241502900,120,23
data,1241503500,120,23
data,1241504100,120,23
data,1241504700,120,23
data,1241505300,120,23
data,1241505900,120,23
data,1241506500,120,19
data,1241506500,120,19
data,1241507400,120,19
data,1241508000,120,19
data,1241508600,120,19
data,1241509500,120,19
data,1241510100,120,19
data,1241511000,120,19
data,1241511900,120,19
data,1241512500,120,19
data,1241513400,120,19
data,1241514300,120,19
data,1241515200,120,19
data,1241515800,120,19
data,1241516700,120,19
data,1241517300,120,19
data,1241518200,120,19
data,1241518800,120,19
data,1241519400,121,20
data,1241520000,121,20
data,1241520600,121,20
data,1241521200,121,20
data,1241521500,121,20
data,1241522100,121,20
data,1241522700,121,20
data,1241523000,121,20
data,1241523600,121,20
data,1241523900,122,21
data,1241524200,122,21
data,1241524800,122,20
data,1241525100,122,20
data,1241525400,122,20
data,1241525700,122,20
data,1241526000,122,20
data,1241526300,122,20
data,1241526600,122,20
data,1241527200,122,20
data,1241527500,122,20
data,1241527800,122,20
data,1241528100,123,21
data,1241528400,123,21
data,1241528700,123,20
data,1241528700,123,20
data,1241529000,123,20
data,1241529300,123,20
data,1241529600,123,20
data,1241529900,123,20
data,1241530200,123,20
data,1241530500,123,20
data,1241530800,123,20
data,1241531100,123,20
data,1241531100,123,20
data,1241531400,123,20
data,1241531700,123,20
data,1241532000,123,20
data,1241532300,124,21
data,1241532600,124,21
data,1241532600,124,20
data,1241532900,124,20
data,1241533200,124,20
data,1241533500,124,20
data,1241533800,124,20
data,1241534100,124,20
data,1241534100,124,20
data,1241534400,124,20
data,1241534700,124,20
data,1241535000,124,20
data,1241535300,124,20
data,1241535300,124,20
data,1241535600,124,20
data,1241535900,125,21
data,1241536200,125,21
data,1241536500,125,20
data,1241536500,125,20
data,1241536800,125,20
data,1241537100,126,21
data,1241537400,127,22
data,1241537400,127,21
data,1241537700,127,21
data,1241538000,127,20
data,1241538300,127,20
data,1241538600,127,20
data,1241538600,127,20
data,1241538900,127,20
data,1241539200,127,20
data,1241539500,127,20
data,1241539500,127,20
data,1241539800,129,22
data,1241540100,129,22
data,1241540400,129,20
data,1241540700,129,20
data,1241540700,129,20
data,1241541000,129,20
data,1241541300,130,21
data,1241541600,130,21
data,1241541600,130,21
data,1241541900,130,21
data,1241542200,130,21
data,1241542500,130,21
data,1241542800,130,21
data,1241542800,130,21
data,1241543100,130,21
data,1241543400,130,21
data,1241543700,131,22
data,1241544000,131,22
data,1241544000,131,21
data,1241544300,131,21
data,1241544600,131,21
data,1241544900,131,21
data,1241545200,131,21
data,1241545200,131,21
data,1241545500,131,21
data,1241545800,131,21
data,1241546100,131,21
data,1241546100,131,21
data,1241546400,131,21
data,1241546700,131,21
data,1241547000,131,21
data,1241547300,131,21
data,1241547300,131,21
data,1241547600,131,21
data,1241547900,131,21
data,1241548200,131,21
data,1241548500,131,21
data,1241548500,131,21
data,1241548800,131,21
data,1241549100,131,21
data,1241549400,131,21
data,1241549700,131,21
data,1241549700,131,21
data,1241550000,131,21
data,1241550300,131,21
data,1241550600,133,23
data,1241550900,133,23
data,1241550900,133,22
data,1241551200,134,23
data,1241551500,134,23
data,1241551800,134,22
data,1241552100,134,22
data,1241552100,134,22
data,1241552400,134,22
data,1241552700,134,22
data,1241553000,134,22
data,1241553000,134,22
data,1241553300,135,23
data,1241553600,135,23
data,1241553900,135,22
data,1241554200,136,23
data,1241554200,136,23
data,1241554500,136,23
data,1241554800,136,22
data,1241555100,136,22
data,1241555100,136,22
data,1241555400,136,22
data,1241555700,137,23
data,1241556000,137,23
data,1241556300,137,22
data,1241556300,137,22
data,1241556600,137,22
data,1241556900,137,22
data,1241557200,137,22
data,1241557200,137,22
data,1241557500,138,23
data,1241557800,138,23
data,1241558100,138,23
data,1241558400,138,23
data,1241558700,138,23
data,1241558700,138,22
data,1241559000,139,23
data,1241559300,139,23
data,1241559600,139,23
data,1241559900,139,23
data,1241560200,139,23
data,1241560500,140,24
data,1241560500,140,24
data,1241560800,140,24
data,1241561100,140,23
data,1241561400,140,23
data,1241561700,140,23
data,1241562000,141,24
data,1241562300,141,24
data,1241562600,141,23
data,1241562900,141,23
data,1241563200,141,23
data,1241563200,141,23
data,1241563500,141,23
data,1241563800,141,23
data,1241564100,141,23
data,1241564400,141,23
data,1241564700,141,23
data,1241565000,141,23
data,1241565300,141,23
data,1241565600,141,23
data,1241565900,141,23
data,1241566200,141,23
data,1241566500,141,23
data,1241566800,141,23
data,1241567100,141,23
data,1241567400,141,23
data,1241567400,141,23
data,1241567700,141,23
data,1241568000,142,24
data,1241568300,142,24
data,1241568600,142,23
data,1241568900,142,23
data,1241569200,142,23
data,1241569500,143,24
data,1241569800,143,24
data,1241570100,143,24
data,1241570400,143,24
data,1241570700,143,23
data,1241571000,144,24
data,1241571300,144,24
data,1241571600,144,23
data,1241571900,145,24
data,1241571900,145,24
data,1241572200,145,24
data,1241572500,145,23
data,1241572800,145,23
data,1241573100,145,23
data,1241573400,145,23
data,1241573700,145,23
data,1241574000,145,23
data,1241574300,145,23
data,1241574600,145,23
data,1241574600,145,23
data,1241574900,145,23
data,1241575200,145,23
data,1241575500,145,23
data,1241575800,145,23
data,1241576100,145,23
data,1241576400,145,23
data,1241576700,145,23
data,1241577000,145,23
data,1241577300,146,24
data,1241577600,146,24
data,1241577900,146,23
data,1241578200,146,23
data,1241578500,146,23
data,1241578800,147,24
data,1241579100,147,24
data,1241579400,147,23
data,1241579700,147,23
data,1241580000,147,23
data,1241580300,147,23
data,1241580900,147,23
data,1241581200,148,24
data,1241581500,148,24
data,1241581800,148,23
data,1241582100,148,23
data,1241582700,148,23
data,1241583000,148,23
data,1241583300,148,23
data,1241583900,148,23
data,1241584200,148,23
data,1241584800,148,23
data,1241585100,148,23
data,1241585700,148,23
data,1241586000,148,23
data,1241586600,148,23
data,1241587200,148,23
data,1241587500,148,23
data,1241588100,148,23
data,1241588700,148,23
data,1241589300,148,23
data,1241589900,148,23
data,1241590500,148,23
data,1241591100,148,23
data,1241591700,148,23
data,1241592300,148,23
data,1241592900,148,23
data,1241593200,148,23
data,1241593800,149,24
data,1241594400,149,24
data,1241595300,149,23
data,1241595900,149,19
data,1241596800,149,19
data,1241597700,149,19
data,1241598300,149,19
data,1241599200,149,19
data,1241600100,149,19
data,1241601000,149,19
data,1241601600,149,19
data,1241602500,149,19
data,1241603100,149,19
data,1241604000,149,19
data,1241604600,149,19
data,1241605500,150,20
data,1241606100,150,20
data,1241606700,150,19
data,1241607300,150,19
data,1241607600,150,19
data,1241608200,150,19
data,1241608800,150,19
data,1241609100,150,19
data,1241609700,150,19
data,1241610000,151,20
data,1241610600,151,20
data,1241610900,151,20
data,1241611200,151,20
data,1241611500,151,20
data,1241611800,151,20
data,1241612400,151,20
data,1241612700,151,20
data,1241613000,151,20
data,1241613300,151,20
data,1241613600,151,20
data,1241613900,151,20
data,1241614200,151,20
data,1241614500,151,20
data,1241614800,151,20
data,1241615100,152,21
data,1241615400,152,21
data,1241615700,152,20
data,1241616000,152,20
data,1241616300,152,20
data,1241616300,152,20
data,1241616600,152,20
data,1241616900,152,20
data,1241617200,152,20
data,1241617500,152,20
data,1241617800,152,20
data,1241618100,152,20
data,1241618100,152,20
data,1241618400,152,20
data,1241618700,152,20
data,1241619000,152,20
data,1241619300,152,20
data,1241619600,152,20
data,1241619600,152,20
data,1241619900,152,20
data,1241620200,152,20
data,1241620500,152,20
data,1241620800,152,20
data,1241620800,152,20
data,1241621100,152,20
data,1241621400,152,20
data,1241621700,153,21
data,1241622000,153,21
data,1241622000,153,20
data,1241622300,153,20
data,1241622600,153,20
data,1241622900,153,20
data,1241623200,153,20
data,1241623200,153,20
data,1241623500,153,20
data,1241623800,153,20
data,1241624100,153,20
data,1241624400,153,20
data,1241624400,153,20
data,1241624700,153,20
data,1241625000,154,21
data,1241625300,154,21
data,1241625300,154,20
data,1241625600,154,20
data,1241625900,155,21
data,1241626200,155,21
data,1241626500,155,20
data,1241626500,155,20
data,1241626800,157,22
data,1241627100,157,22
data,1241627400,157,21
data,1241627700,157,21
data,1241628000,157,21
data,1241628000,157,21
data,1241628300,157,21
data,1241628600,158,22
data,1241628900,158,22
data,1241629200,158,21
data,1241629200,158,21
data,1241629500,158,21
data,1241629800,158,21
data,1241630100,158,21
